Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
442,Caleb Houstan,23,ATL,SF,10,0,4.9,0.7,1.5,.467,0.6,1.2,.500,0.1,0.3,.333,.667,0.3,0.3,1.000,0.4,0.1,0.5,0.2,0.1,0.1,0.4,0.6,2.3,,houstca01
443,Kevin McCullar Jr.,24,NYK,SF,12,0,7.3,0.8,1.9,.435,0.5,1.2,.429,0.3,0.8,.444,.565,0.2,0.4,.400,0.7,1.0,1.7,1.3,0.3,0.0,0.7,1.2,2.3,,mcculke01
444,Luke Travers,24,CLE,SG,12,0,8.6,0.8,3.0,.250,0.1,1.3,.063,0.7,1.7,.400,.264,0.8,0.8,1.000,0.8,1.3,2.0,0.8,0.6,0.3,0.3,0.5,2.3,,travelu01
445,Hunter Tyson,25,DEN,PF,18,2,8.0,0.7,2.8,.260,0.3,1.7,.194,0.4,1.1,.368,.320,0.5,0.6,.818,0.2,1.5,1.7,0.8,0.1,0.1,0.2,0.7,2.3,,tysonhu01
446,Jordan McLaughlin,29,SAS,PG,19,0,6.1,0.8,1.8,.429,0.4,1.0,.368,0.4,0.8,.500,.529,0.2,0.3,.800,0.2,0.5,0.7,0.8,0.5,0.0,0.4,0.4,2.2,,mclaujo01
447,Amir Coffey,28,MIL,SG,26,0,8.2,0.7,1.7,.409,0.2,0.8,.227,0.5,0.8,.591,.466,0.5,0.5,.929,0.2,0.6,0.8,0.3,0.1,0.1,0.2,0.4,2.1,,coffeam01
448,Jeff Green,39,HOU,PF,15,0,4.4,0.8,1.7,.480,0.5,1.1,.471,0.3,0.5,.500,.640,0.0,0.0,,0.1,0.5,0.5,0.1,0.0,0.1,0.1,0.3,2.1,,greenje02
449,Johnny Juzang,24,MIN,SG,17,0,3.9,0.8,1.9,.438,0.3,1.2,.250,0.5,0.7,.750,.516,0.2,0.2,.750,0.3,0.5,0.8,0.4,0.1,0.0,0.2,0.2,2.1,,juzanjo01
450,Maxi Kleber,34,LAL,PF,20,1,11.5,0.7,2.0,.325,0.2,0.9,.235,0.5,1.2,.391,.375,0.6,0.7,.786,0.7,1.2,1.9,0.7,0.3,0.3,0.4,1.6,2.1,,klebima01
451,Lindy Waters III,28,SAS,SG,26,0,7.2,0.7,2.1,.352,0.6,1.8,.319,0.2,0.3,.571,.491,0.0,0.0,1.000,0.1,0.7,0.8,0.4,0.2,0.0,0.1,0.7,2.1,,waterli01
452,Patrick Baldwin Jr.,23,LAC,SF,1,0,5.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,baldwpa01
453,Koby Brea,23,PHO,SG,2,0,4.0,0.5,1.5,.333,0.0,1.0,.000,0.5,0.5,1.000,.333,1.0,1.0,1.000,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,2.0,,breako01
454,JD Davison,23,HOU,PG,20,0,7.2,0.7,2.0,.359,0.3,1.1,.286,0.4,0.9,.444,.436,0.3,0.5,.556,0.1,0.7,0.8,1.0,0.3,0.2,0.3,0.6,2.0,,davisjd01
