player,age,team,pos,g,gs,mp,fg,fga,fg_percent,three_points,three_pointsa,three_points_percent,two_points,two_pointsa,two_points_percent,efg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,points_per_game,points_per_minute
Luka Dončić,26.0,LAL,PG,36.0,36.0,36.4,10.4,22.4,0.467,3.4,10.2,0.334,7.0,12.2,0.578,0.543,9.1,11.5,0.79,0.9,6.9,7.8,8.7,1.6,0.5,4.3,2.7,33.4,0.9277777777777777,0.9175824175824175
Shai Gilgeous-Alexander,27.0,OKC,PG,44.0,44.0,33.4,11.1,19.9,0.557,1.9,4.8,0.396,9.2,15.1,0.608,0.605,8.3,9.2,0.894,0.5,3.9,4.4,6.2,1.3,0.8,2.0,2.0,32.3,0.734090909090909,0.967065868263473
Tyrese Maxey,25.0,PHI,PG,42.0,42.0,39.5,10.5,22.3,0.472,3.5,8.9,0.392,7.0,13.4,0.526,0.551,5.3,6.0,0.882,0.3,4.0,4.3,6.8,2.1,1.0,2.5,2.1,29.9,0.7119047619047618,0.7569620253164556
Jaylen Brown,29.0,BOS,SF,42.0,42.0,34.5,10.9,22.6,0.484,2.2,6.0,0.362,8.7,16.5,0.528,0.532,5.8,7.4,0.781,1.3,5.5,6.8,4.9,1.0,0.4,3.7,2.9,29.8,0.7095238095238096,0.863768115942029
Anthony Edwards,24.0,MIN,SG,36.0,36.0,35.2,10.2,20.7,0.495,3.5,8.6,0.406,6.8,12.1,0.557,0.579,5.7,7.2,0.795,0.6,4.4,5.1,3.7,1.3,0.8,2.6,2.0,29.6,0.8222222222222223,0.8409090909090908
Nikola Jokić,30.0,DEN,C,32.0,32.0,34.6,10.6,17.5,0.605,2.1,4.8,0.435,8.5,12.7,0.67,0.665,6.3,7.4,0.853,3.0,9.1,12.2,11.0,1.4,0.8,3.5,2.8,29.6,0.925,0.8554913294797688
Donovan Mitchell,29.0,CLE,SG,43.0,43.0,34.2,10.1,21.0,0.482,3.8,9.9,0.38,6.3,11.1,0.574,0.572,5.1,6.1,0.84,0.9,3.9,4.8,5.8,1.5,0.2,3.1,2.5,29.1,0.6767441860465117,0.8508771929824561
Kawhi Leonard,34.0,LAC,SF,31.0,31.0,33.5,9.7,19.5,0.497,2.9,7.3,0.4,6.8,12.3,0.554,0.571,5.8,6.1,0.942,0.9,5.3,6.2,3.5,2.2,0.6,2.1,1.4,28.1,0.9064516129032258,0.8388059701492537
Giannis Antetokounmpo,31.0,MIL,PF,30.0,30.0,29.2,10.5,16.2,0.645,0.5,1.3,0.395,10.0,15.0,0.666,0.66,6.5,9.9,0.658,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,28.0,0.9333333333333333,0.9589041095890412
Jalen Brunson,29.0,NYK,PG,40.0,39.0,34.5,10.0,21.0,0.477,3.0,7.8,0.384,7.0,13.2,0.532,0.548,5.0,5.9,0.847,0.5,2.7,3.2,6.1,0.7,0.1,2.3,2.5,28.0,0.7,0.8115942028985508
Lauri Markkanen,28.0,UTA,PF,33.0,33.0,36.0,9.5,19.7,0.483,2.9,8.0,0.365,6.6,11.7,0.563,0.557,6.0,6.8,0.884,2.0,5.2,7.2,2.2,1.0,0.5,1.6,2.0,27.9,0.8454545454545455,0.7749999999999999
Stephen Curry,37.0,GSW,PG,36.0,36.0,31.7,9.1,19.3,0.47,4.6,11.6,0.392,4.5,7.7,0.586,0.588,4.6,5.0,0.928,0.4,3.3,3.7,4.9,1.1,0.4,2.8,2.0,27.4,0.7611111111111111,0.8643533123028391
Austin Reaves,27.0,LAL,SG,23.0,22.0,35.3,8.2,16.2,0.507,2.7,7.4,0.365,5.5,8.8,0.626,0.59,7.5,8.6,0.873,0.7,4.5,5.2,6.3,1.0,0.2,3.3,2.3,26.6,1.1565217391304348,0.7535410764872522
Kevin Durant,37.0,HOU,SF,41.0,41.0,36.9,9.2,17.9,0.516,2.3,5.7,0.406,6.9,12.2,0.567,0.58,5.5,6.2,0.885,0.4,5.0,5.5,4.6,0.7,1.0,3.1,2.1,26.3,0.6414634146341464,0.7127371273712737
